drive_id,old_name,new_name,github_pages_url,size_bytes,sha256,note
12PtV66QpQw-QnxdO4UlHievjSOq0peYU,fbecb38d2c94820a7dbb5eb60aafc96ef01290ef3a9d5509165f4a0863134006.mp4,A2109_01.mp4,https://kenobi-1.github.io/ascent-refs/A2109_01.mp4,499395,fbecb38d2c94820a7dbb5eb60aafc96ef01290ef3a9d5509165f4a0863134006,
1Ijqfhnkn7bfJ-FbSEW-7OHPa7gBr3Lvf,23fe2ff5e0012be6fc1ea538de27c8219ea791f186e171ddb55ec0c0473639f9.mp4,A2109_02.mp4,https://kenobi-1.github.io/ascent-refs/A2109_02.mp4,4136695,23fe2ff5e0012be6fc1ea538de27c8219ea791f186e171ddb55ec0c0473639f9,
1bZ98wTmtos_SmjBFh4GbDasSjYz9v6h1,596b87e12f5e318146d24fabca5fdd73.mp4,N08.mp4,https://kenobi-1.github.io/ascent-refs/N08.mp4,1258031,d516cdb808891198b757c9c4489effde389043c82ec23d2a31c1bdf324dd6ed8,
1gY-kGcWtauZZ9Qx2-eL-d5XWsOhY5apQ,53db521c9072fa066037a628394e3395552dfe61054766d7cd744d9b7c3c6343.mp4,A2109_03.mp4,https://kenobi-1.github.io/ascent-refs/A2109_03.mp4,2315542,53db521c9072fa066037a628394e3395552dfe61054766d7cd744d9b7c3c6343,
1mlKxdlN9tK_nmeiVxkjZk3t5k61P_RNd,bc5e36e00249a65445d4162e52ac2383.mp4,A2109_04.mp4,https://kenobi-1.github.io/ascent-refs/A2109_04.mp4,12202991,d61d243c3693fbbe118d55dac510ea4f46509d83becdfc5564b2a73dec187e39,recomprimido para subir (original en Drive refs ascent)
1wJN1rw18-fnULNMKnoFKm81_tT4T8WeB,c0f3d88759d0bef63b0f00291cf0a59ad4cf81bd3c5fed9bd36781b1316dbf93.mp4,A2109_05.mp4,https://kenobi-1.github.io/ascent-refs/A2109_05.mp4,4507171,c0f3d88759d0bef63b0f00291cf0a59ad4cf81bd3c5fed9bd36781b1316dbf93,
13R856wHXHiSX4JmdYMzilQsKVxpAlzAH,869f04e0f6fdba667d30190a1f18708287dc07e2e1532c0312a3bf9e87446c6f.mp4,A2109_06.mp4,https://kenobi-1.github.io/ascent-refs/A2109_06.mp4,2960433,869f04e0f6fdba667d30190a1f18708287dc07e2e1532c0312a3bf9e87446c6f,
1BWXJ9hYBdF9Zj7CfUGoeKRJfMp6QOMEJ,ca32f64aa4e148f1c86660c4c4ff8b4dac64c738c3d11bb21621d5169a5c2566.mp4,A2109_07.mp4,https://kenobi-1.github.io/ascent-refs/A2109_07.mp4,2894488,ca32f64aa4e148f1c86660c4c4ff8b4dac64c738c3d11bb21621d5169a5c2566,
1I5VQo1Ds7qVuPCH4YiW2_c0a_riuBLD3,642252a73dc11f2d98ff937a4cb14ddff96fdd03bb9e1cbfeeb244977a68db31.mp4,A2109_08.mp4,https://kenobi-1.github.io/ascent-refs/A2109_08.mp4,2881722,642252a73dc11f2d98ff937a4cb14ddff96fdd03bb9e1cbfeeb244977a68db31,
1CtZyK9I7uFr-Ajy9FUETYigMllfS-cga,bfe45894c809865a2fb3ea3599538ed863f99a892d9ca997be8f218474ffc87f.mp4,A2109_09.mp4,https://kenobi-1.github.io/ascent-refs/A2109_09.mp4,13813566,bfe45894c809865a2fb3ea3599538ed863f99a892d9ca997be8f218474ffc87f,
1o9OxaBaLTY5fcTASB4eWL5ooqOsmbset,43ed08854484660ef0610ec268912c46ce0b811fb64bcf77351bf3cd2a812683.mp4,A2109_10.mp4,https://kenobi-1.github.io/ascent-refs/A2109_10.mp4,11861763,9f23307d30993ca19cbee0a256e142f7e6f38072e53f5f986b0d7352da5f2db7,recomprimido para subir (original en Drive refs ascent)
18V2zKFu3sCZ7xyp3w29N6Y9PnskLupSz,d08ad224f8806a70e7e2c65f669eab6b.mp4,A2109_11.mp4,https://kenobi-1.github.io/ascent-refs/A2109_11.mp4,10733040,66c1188880a12025320b17d9443f52a1d2721b845ca406860d7ea83aa306f06c,
194EzetPfiUPyADVS52hkTzIcDb4iSE1l,d672c0f8245d26872fc546334f98fcb6.mp4,A2109_12.mp4,https://kenobi-1.github.io/ascent-refs/A2109_12.mp4,12030267,3c16cc6de06aad0886af6f1ba1f7ade66aa54eaa895cd0b7583ce7d6fb1c5765,
1ay5-5NRuCvYuniPNyvBehGn6_WQ5xoW9,e0d28f0bdf5f50c708bad9bf995f9890f30948e9f140fdee64286f14c2eb1a8c.mp4,A2109_13.mp4,https://kenobi-1.github.io/ascent-refs/A2109_13.mp4,12148814,e3b0380150e1fbdfbf575249f4fda3579aceb35269a0bfbb7fa6686e71038e46,recomprimido para subir (original en Drive refs ascent)
1BL6yrJEHd_Cuu6kK2N-ujfPpu_Mf2-fu,e785216961afbaa29ec89e6e4bbcea06d9686ee2624d57b4ffcd0d7dee3ece1a.mp4,A2109_14.mp4,https://kenobi-1.github.io/ascent-refs/A2109_14.mp4,4443058,e785216961afbaa29ec89e6e4bbcea06d9686ee2624d57b4ffcd0d7dee3ece1a,
1ilx_Se6X5SK3n_LC6AhPmtOp7cez8h_g,e1f19cb265991e3c25afd6fe11e3e075.mp4,A2109_15.mp4,https://kenobi-1.github.io/ascent-refs/A2109_15.mp4,4344264,532a123b40696d6117eea484b550c8f0c7192d1389ec7f79ad31db39e77555fd,
